;GW-Nummer;AQUIFER;Messstelle;Datum;RECHTSWERT;HOCHWERT;Nitrat
152;152;Kristallin (Schwarzwald);152;2019-12-05 10:46:00+00:00;437417.5768;5291005.056;3.16
153;153;Quartär eiszeitl.Kiese+Sande (Oberrheingraben);153;2019-09-24 05:15:00+00:00;461470.0581;5453157.622;10.51
154;154;Quartär Talfüllungen;154;2019-09-18 15:15:00+00:00;467618.5173;5307019.812;0.5
155;155;Muschelkalk;155;2019-09-05 08:30:00+00:00;487636.1115;5421404.928;12.76666667
156;156;Muschelkalk;156;2019-09-25 09:00:00+00:00;483755.145;5393881.257;22.725
157;157;Malm Weißjura (Schwäbische Alb);157;2019-09-03 07:10:00+00:00;486477.6925;5336830.856;5.375
158;158;Quartär eiszeitl.Kiese+Sande, moränenüberd. (Alpenv);158;2019-09-09 11:45:00+00:00;483551.2577;5287883.507;9.69
159;159;Muschelkalk;159;2019-09-11 07:00:00+00:00;493318.4232;5454682.897;27.32727273
160;160;Quartär Talfüllungen;160;2018-09-25 11:00:00+00:00;496658.0077;5419845.789;32.2
161;161;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);161;2019-09-11 06:18:00+00:00;492790.4782;5299921.7;23.28
162;162;Lettenkeuper;162;2019-12-04 09:30:00+00:00;504925.2101;5447791.985;25.81875
163;163;Lias und Dogger (Albvorland);163;2019-09-03 06:25:00+00:00;515845.2347;5393927.136;50.1
164;164;Malm Weißjura (Schwäbische Alb);164;2019-12-17 08:40:00+00:00;521665.9168;5368528.385;6.725
165;165;Muschelkalk;165;2019-09-03 08:25:00+00:00;546906.1251;5465630.478;42.66
166;166;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);166;2019-09-25 07:40:00+00:00;539490.8344;5317386.813;47.83333333
167;167;Lettenkeuper;167;2019-09-09 10:00:00+00:00;560910.4184;5448689.16;51.6
168;168;Lettenkeuper;168;2019-09-10 08:20:00+00:00;577060.9413;5458608.165;27.21666667
169;169;Lettenkeuper;169;2019-09-17 13:05:00+00:00;575424.5444;5440442.508;0.366666667
170;170;Lias und Dogger (Albvorland);170;2019-09-11 06:30:00+00:00;602441.5789;5419634.675;16.83478261
171;171;Quartär eiszeitl.Kiese+Sande (Oberrheingraben);171;2019-09-30 06:30:00+00:00;390778.0082;5290857.122;8.266666667
172;172;Quartär eiszeitl.Kiese+Sande (Oberrheingraben);172;2019-09-17 08:55:00+00:00;457473.6432;5440612.65;6.476923077
173;173;Buntsandstein;173;2019-09-12 07:10:00+00:00;455296.4039;5383042.496;4.8
174;174;Muschelkalk;174;2019-09-09 07:00:00+00:00;457941.366;5317406.692;22.1375
175;175;Muschelkalk;175;2019-09-11 09:15:00+00:00;485478.4941;5390807.412;31.31666667
176;176;Quartär Talfüllungen;176;2019-09-25 07:00:00+00:00;475802.3164;5306390.046;9.7
177;177;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);177;2019-09-26 08:00:00+00:00;483081.386;5299908.618;23.52
178;178;Muschelkalk;178;2019-11-27 08:12:00+00:00;489753.7363;5381346.302;32.03
179;179;Malm Weißjura (Schwäbische Alb);179;2019-09-25 09:50:00+00:00;488014.4122;5325333.632;9.5
180;180;Muschelkalk;180;2019-09-10 13:15:00+00:00;508581.4085;5465786.419;18.125
181;181;Muschelkalk;181;2019-09-05 07:25:00+00:00;509860.7194;5423376.436;7.26
182;182;Quartär Talfüllungen;182;2019-09-02 11:30:00+00:00;501205.1787;5344166.116;23.025
183;183;Malm Weißjura (Schwäbische Alb);183;2019-09-02 05:45:00+00:00;506462.033;5335884.409;12.2
184;184;Muschelkalk;184;2019-09-03 10:00:00+00:00;535449.8546;5488058.455;43.075
185;185;Quartär Talfüllungen;185;2019-09-09 11:20:00+00:00;546250.4039;5470074.633;0.94
186;186;Muschelkalk;186;2019-09-04 06:20:00+00:00;537014.9735;5459600.921;9.76
187;187;Lettenkeuper;187;2019-09-18 13:20:00+00:00;557151.8436;5439782.669;0.32
188;188;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);188;2019-09-11 10:15:00+00:00;559100.9306;5328734.082;23.06
189;189;Quartär eiszeitl.Kiese+Sande, moränenüberd. (Alpenv);189;2019-09-23 07:20:00+00:00;552697.5824;5303946.337;40.525
190;190;Lettenkeuper;190;2019-09-09 07:20:00+00:00;566314.2591;5458265.368;7.928571429
191;191;Lettenkeuper;191;2019-09-16 12:50:00+00:00;565338.5864;5441771.957;49.2
192;192;Lettenkeuper;192;2019-09-10 08:40:00+00:00;576446.1746;5457091.748;39.98
193;193;Lettenkeuper;193;2019-09-12 13:45:00+00:00;578093.4808;5442661.598;1.225
194;194;Buntsandstein;194;2019-09-19 07:15:00+00:00;454018.9476;5371736.047;4.1
195;195;Buntsandstein;195;2019-09-18 08:55:00+00:00;459720.6989;5355136.612;9.475
196;196;Höherer Keuper (Keuperbergland);196;2019-09-25 08:15:00+00:00;467137.6498;5319510.853;5.171428571
197;197;Gipskeuper (Fuß des Keuperberglandes);197;2019-12-05 09:30:00+00:00;479518.8697;5439575.919;41.84
198;198;Buntsandstein;198;2019-09-25 08:20:00+00:00;487102.8307;5399523.961;15.4
199;199;Muschelkalk;199;2019-09-11 10:35:00+00:00;483681.1654;5384664.911;26.58333333
200;200;Quartär Talfüllungen;200;2019-09-17 08:40:00+00:00;487363.6465;5317116.806;7.0375
201;201;Malm Weißjura (Schwäbische Alb);201;2019-09-02 07:40:00+00:00;495112.5965;5340322.611;4.175
202;202;Lettenkeuper;202;2019-12-04 10:15:00+00:00;505322.6546;5450748.564;27.90869565
203;203;Lias und Dogger (Albvorland);203;2019-09-17 07:50:00+00:00;519736.705;5387333.898;53.66666667
204;204;Quartär Moränen (Alpenvorland);204;2019-09-16 07:00:00+00:00;523795.2555;5291596.258;10.86666667
205;205;Muschelkalk;205;2019-12-12 19:19:00+00:00;535039.9976;5497945.541;50.42941176
206;206;Muschelkalk;206;2019-09-11 10:30:00+00:00;528394.5752;5484523.893;45.96
207;207;Quartär Talfüllungen;207;2019-09-03 11:40:00+00:00;529157.9669;5371385.226;17.46
208;208;Malm Weißjura (Schwäbische Alb);208;2019-09-11 08:45:00+00:00;531780.8829;5356737.16;23.94
209;209;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);209;2019-09-16 06:35:00+00:00;525286.1659;5323278.579;20.7
210;210;Quartär eiszeitl.Kiese+Sande, moränenüberd. (Alpenv);210;2019-09-17 06:45:00+00:00;531463.14;5301404.265;14.65
211;211;Buntsandstein;211;2019-12-03 10:45:00+00:00;540108.0087;5505058.653;41.81052632
212;212;Muschelkalk;212;2019-09-09 06:30:00+00:00;538508.4173;5466584.152;40.94
213;213;Lettenkeuper;213;2019-09-09 12:10:00+00:00;561887.9832;5451517.044;3.14
214;214;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);214;2019-09-24 08:10:00+00:00;572305.5517;5360694.469;13.03076923
215;215;Malm Weißjura (Schwäbische Alb);215;2019-09-26 09:15:00+00:00;601660.878;5408785.931;39.675
216;216;Buntsandstein;216;2019-09-19 08:00:00+00:00;455496.3261;5368552.342;5.55
217;217;Buntsandstein;217;2019-09-18 10:50:00+00:00;458354.3537;5357760.459;15.2
218;218;Buntsandstein;218;2019-09-24 12:40:00+00:00;480656.4387;5416793.129;41.775
219;219;Buntsandstein;219;2019-09-03 07:30:00+00:00;480659.387;5396343.279;13.775
220;220;Muschelkalk;220;2018-09-11 07:10:00+00:00;483405.2779;5393766.23;25.55
221;221;Lettenkeuper;221;2019-09-04 13:05:00+00:00;484460.8411;5356499.199;32.95
222;222;Quartär Talfüllungen;222;2019-09-05 08:15:00+00:00;483879.0791;5320278.539;29.3
223;223;Quartär Talfüllungen;223;2019-09-25 10:25:00+00:00;475953.1976;5307521.548;17.425
224;224;Malm Weißjura (Schwäbische Alb);224;2019-09-05 11:05:00+00:00;488433.3013;5332016.904;7.64
225;225;Quartär eiszeitl.Kiese+Sande, moränenüberd. (Alpenv);225;2019-09-26 12:25:00+00:00;508773.5883;5316379.273;31.86
226;226;Muschelkalk;226;2018-09-05 09:45:00+00:00;521146.417;5473903.153;20.46666667
227;227;Malm Weißjura (Schwäbische Alb);227;2019-09-04 06:45:00+00:00;512698.6542;5344480.017;6.36
228;228;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);228;2019-09-16 05:45:00+00:00;522654.4564;5289803.176;19.55454545
229;229;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);229;2019-09-04 10:00:00+00:00;542596.7676;5460663.503;11.08
230;230;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);230;2019-09-25 08:30:00+00:00;539468.7694;5318373.459;70.07142857
231;231;Quartär eiszeitl.Kiese+Sande (Albsüdrand, Alpenv.);231;2019-09-18 14:20:00+00:00;559541.2232;5332553.29;33.49090909
232;232;Quartär eiszeitl.Kiese+Sande, moränenüberd. (Alpenv);232;2019-09-23 08:05:00+00:00;552409.6891;5303251.684;27.05
233;233;Lettenkeuper;233;2019-09-10 11:05:00+00:00;575894.3446;5454796.736;61.8375
234;234;Muschelkalk;234;2019-09-17 11:20:00+00:00;577064.9135;5444106.931;3.8
235;235;Lias und Dogger (Albvorland);235;2019-09-26 13:00:00+00:00;603090.3007;5412901.459;67.8625
236;236;Muschelkalk;236;2019-09-18 08:20:00+00:00;461778.8377;5353317.426;20.57333333
237;237;Buntsandstein;237;2019-09-05 09:50:00+00:00;474549.8088;5389402.982;14.68333333
238;238;Buntsandstein;238;2019-11-18 11:00:00+00:00;480434.1237;5416133.476;22.73333333
239;239;Buntsandstein;239;2019-09-11 07:35:00+00:00;484551.2398;5397107.108;18.25
240;240;Muschelkalk;240;2019-09-11 12:50:00+00:00;483354.3521;5389666.915;13.04285714
241;241;Lias und Dogger (Albvorland);241;2018-09-05 10:50:00+00:00;478280.2834;5350352.663;2.866666667
242;242;Quartär Talfüllungen;242;2019-09-17 11:55:00+00:00;483407.2062;5317539.661;11.3
243;243;Malm Weißjura (Schwäbische Alb);243;2019-09-02 10:20:00+00:00;499426.8834;5346770.061;15.0375
244;244;Buntsandstein;244;2019-09-17 15:30:00+00:00;502426.9611;5481567.189;5.25
245;245;Quartär eiszeitl.Kiese+Sande, moränenüberd. (Alpenv);245;2019-09-19 10:26:00+00:00;524731.1616;5308147.527;38.11428571
246;246;Muschelkalk;246;2019-09-03 11:45:00+00:00;524814.9141;5467051.854;28.0875
247;247;Muschelkalk;247;2019-09-02 07:55:00+00:00;537511.7863;5449916.766;7.15
248;248;Lettenkeuper;248;2019-09-05 07:30:00+00:00;549419.5529;5450303.482;4.366666667
249;249;Lettenkeuper;249;2019-09-11 13:00:00+00:00;555832.3954;5441192.153;17.8
250;250;Quartär eiszeitl.Kiese+Sande, moränenüberd. (Alpenv);250;2019-11-20 11:10:00+00:00;552226.5083;5324660.005;46.03
